City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
350,Sovetskiy,RU,61.3614,63.5842,59.81,66,37,6.02,scattered clouds
351,Elat,IL,29.5581,34.9482,91.24,29,0,10.36,clear sky
352,Mouzouras,GR,35.5333,24.15,68.0,73,75,10.36,broken clouds
353,Acarau,BR,-2.8856,-40.12,83.88,68,78,15.14,broken clouds
354,Mineros,BO,-17.1167,-63.2333,81.99,36,87,9.62,overcast clouds
355,Lasa,IT,46.6166,10.7002,85.08,74,77,2.13,broken clouds
356,Ulladulla,AU,-35.35,150.4667,49.87,80,11,4.76,few clouds
357,Kudahuvadhoo,MV,2.6708,72.8944,83.32,70,38,10.85,scattered clouds
358,Saldanha,ZA,-33.0117,17.9442,59.05,91,71,2.75,broken clouds
359,Riyadh,SA,24.6877,46.7219,107.65,7,0,11.5,clear sky
360,Ovsyanka,RU,55.9575,92.5519,54.57,88,100,2.13,overcast clouds
361,Mount Gambier,AU,-37.8333,140.7667,51.71,100,100,12.66,light rain
362,Comodoro Rivadavia,AR,-45.8667,-67.5,44.46,57,0,1.14,clear sky
363,Bathsheba,BB,13.2167,-59.5167,86.61,62,40,23.02,scattered clouds
364,Aklavik,CA,68.2191,-135.0107,68.83,42,20,18.41,few clouds
365,Salalah,OM,17.0151,54.0924,84.29,84,20,3.44,few clouds
366,Grindavik,IS,63.8424,-22.4338,49.95,57,75,11.5,broken clouds
367,Kieta,PG,-6.2167,155.6333,78.31,85,90,4.12,overcast clouds
368,Cabanbanan,PH,14.2404,121.4341,83.98,90,66,2.04,broken clouds
369,Kankon,IN,15.0167,74.0167,75.0,88,100,14.2,light rain
370,Marawi,PH,7.9986,124.2928,70.65,94,100,2.17,moderate rain
371,Jamame,SO,0.0722,42.7506,76.33,72,88,13.06,overcast clouds
372,Matamoros,MX,25.5333,-103.25,85.1,31,66,11.65,broken clouds
373,Kurchatov,RU,51.6601,35.6521,75.61,84,48,4.03,scattered clouds
374,Kawalu,ID,-7.3817,108.2082,71.76,98,85,1.14,overcast clouds
375,Beidao,CN,34.5686,105.8933,63.46,81,100,10.31,light rain
376,Bay Roberts,CA,47.5999,-53.2648,61.66,50,55,11.14,broken clouds
