City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
110,Russell,US,32.3502,-85.1999,92.48,63,20,5.75,few clouds
111,Vao,NC,-22.6667,167.4833,72.88,80,97,7.09,overcast clouds
112,Taoudenni,ML,22.6783,-3.9836,101.61,7,0,13.33,clear sky
113,Ilulissat,GL,69.2167,-51.1,37.42,87,40,4.61,scattered clouds
114,Tasiilaq,GL,65.6145,-37.6368,37.56,72,47,2.73,scattered clouds
115,Abu Samrah,SY,35.3029,37.1841,65.05,78,0,7.54,clear sky
116,Itarema,BR,-2.9248,-39.9167,78.94,80,70,10.6,broken clouds
117,Sayyan,YE,15.1718,44.3244,62.98,41,90,1.92,overcast clouds
118,Praxedis Guerrero,MX,31.3667,-106.0167,98.42,13,0,19.84,clear sky
119,Victoria,HK,22.2855,114.1577,88.97,84,100,1.99,overcast clouds
120,Wajima,JP,37.4,136.9,68.68,94,75,6.91,broken clouds
121,Santa Fe,AR,-31.6333,-60.7,51.03,63,39,4.0,light rain
122,Nikolskoye,RU,59.7035,30.7861,50.4,88,23,5.26,few clouds
123,Aklavik,CA,68.2191,-135.0107,79.63,29,20,14.97,few clouds
124,Henties Bay,NA,-22.116,14.2845,54.86,81,64,4.79,broken clouds
125,Leningradskiy,RU,69.3833,178.4167,40.3,91,90,6.4,overcast clouds
126,Kayerkan,RU,69.3497,87.7602,51.84,83,87,9.84,overcast clouds
127,Barrow,US,71.2906,-156.7887,41.02,75,40,21.85,scattered clouds
128,Bambanglipuro,ID,-7.95,110.2833,57.6,86,99,4.32,overcast clouds
129,Grindavik,IS,63.8424,-22.4338,46.35,75,75,21.85,broken clouds
130,Quelimane,MZ,-17.8786,36.8883,66.74,92,81,1.28,broken clouds
131,San Cristobal,VE,7.7669,-72.225,69.98,91,89,2.37,overcast clouds
132,Komsomolskiy,UZ,40.4272,71.7189,65.62,39,5,6.91,clear sky
133,Jacqueville,CI,5.2052,-4.4146,80.51,83,98,13.06,overcast clouds
134,Vetlanda,SE,57.4289,15.0776,46.27,94,63,4.79,broken clouds
135,Butaritari,KI,3.0707,172.7902,83.17,77,100,15.97,light rain
136,Zalantun,CN,48.0,122.7167,72.16,64,98,6.35,overcast clouds
137,Ko Samui,TH,9.5357,99.9357,83.97,74,100,12.41,overcast clouds
138,Christchurch,NZ,-43.5333,172.6333,52.03,96,90,1.99,overcast clouds
139,Houston,US,29.7633,-95.3633,90.32,72,75,5.99,heavy intensity rain
140,Port Macquarie,AU,-31.4333,152.9167,58.89,58,1,2.21,clear sky
141,North Myrtle Beach,US,33.816,-78.68,78.85,85,1,0.0,clear sky
