City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
342,Fairbanks,US,85.1,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
346,Moberly,US,89.58,clear sky,39.4184,-92.4382,Super 8 by Wyndham Moberly MO
351,Naze,JP,77.92,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
352,Touros,BR,77.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
359,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
360,Souris,CA,82.74,scattered clouds,49.6172,-100.2612,The Souris Hotel
362,Tuy Hoa,VN,82.8,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
363,Montecristi,EC,78.62,light rain,-1.05,-80.6667,Balcones del Cerro Hotel - Cabañas
372,Funadhoo,MV,83.3,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
379,Pasighat,IN,78.44,broken clouds,28.0667,95.3333,Siang Guest House
383,Gopalpur,IN,84.38,overcast clouds,19.2667,84.9167,Gopalpur Palm Resort
386,Havelock,US,77.02,broken clouds,34.8791,-76.9013,Sherwood Motel
387,Bikaner,IN,84.06,broken clouds,28.0167,73.3,Karina Guest House
390,West Bay,KY,84.07,overcast clouds,19.3667,-81.4167,Calypso Cove
394,Mexico,PH,85.14,overcast clouds,15.0646,120.7198,stone place
400,Fortuna,US,78.19,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
402,Kalmunai,LK,78.46,overcast clouds,7.4167,81.8167,VS Villa
403,Zhuhai,CN,86.11,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
406,Yuli,NG,75.29,light rain,9.6989,10.2744,Nanyang Seascape Hotel Zhuhai Hotel
417,Abu Dhabi,AE,87.82,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
418,Coahuayana,MX,81.88,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
419,Tual,ID,80.87,broken clouds,-5.6667,132.75,Grand Vilia Hotel
420,Tra Vinh,VN,79.07,overcast clouds,9.9347,106.3453,Hồng Ân
422,Barcelona,ES,80.33,clear sky,41.3888,2.159,Axel Hotel Barcelona
426,Asyut,EG,79.05,clear sky,27.181,31.1837,Florence Hotel Assiut
433,Kapoeta,SS,75.18,overcast clouds,4.7717,33.5903,Eastgate Hotel
434,Kapit,MY,75.29,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
435,Cockburn Town,TC,80.74,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
436,Tabou,CI,77.04,overcast clouds,4.423,-7.3528,hotêl doufoulougou
439,Cao Bang,VN,79.41,broken clouds,22.6667,106.25,khách sạn 88
440,Sinnamary,GF,78.24,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
443,Kudahuvadhoo,MV,83.1,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
449,Kutum,SD,79.47,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
450,Puri,IN,83.37,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
451,Veraval,IN,84.11,broken clouds,20.9,70.3667,Lords Inn Somnath
459,Toledo,ES,79.92,overcast clouds,39.8333,-4.0,Hotel Carlos V Toledo
463,Cayenne,GF,82.09,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
464,Chishtian Mandi,PK,84.65,scattered clouds,29.8,72.8667,Boys Hostel
466,Alyangula,AU,80.47,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
469,Port Keats,AU,79.29,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
472,Brazzaville,CG,78.1,scattered clouds,-4.2658,15.2832,Hotel Murex
486,Conakry,GN,79.12,moderate rain,9.538,-13.6773,Riviera Royal Hotel
492,Amahai,ID,79.43,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
496,Gunjur,GM,78.62,overcast clouds,13.2019,-16.7339,Kuba Lodge
501,Pandan,PH,86.09,scattered clouds,14.0453,124.1694,Bonifacio Lodge
509,Gorontalo,ID,80.83,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
